Timestamp,Gender,Age Group,Which Chocolate Brand do you prefer?,How Frequently do you buy chocolates?,Which products from your preferred brand do you like the most ? ,"For Cadbury:
According to it's Taste, how would you like to rate it?
","For Nestle:
According to it's Taste, how would you like to rate it ?","For Cadbury:
According to it's Texture, how would you like to rate it ?","For Nestle :
According to it's Texture, how would you like to rate it ?","For Cadbury:
How about the packaging, is it attractive/interesting?  ","For Nestle:
How about the packaging, is it attractive/interesting?  ",Which brand do you consider the best value for its price?,Which Price range do you prefer to buy the most?,What do you like most about chocolate?,Which brand would you like to recommend to your friend ?
03-05-24 10:19,Female,18-25,Nestle,Few times a month,Nestle Kitkat,4,5,4,4,Yes,Yes,Cadbury,05-Oct,Taste,Nestle
03-05-24 10:24,Female,18-25,Nestle,Few times a month,Nestle Kitkat,5,4,4,5,Yes,Yes,Nestle,50-90,Taste,Nestle
03-05-24 10:29,Female,18-25,Cadbury,Few times a week,Nestle Kitkat,5,5,5,5,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 10:45,Female,18-25,Cadbury,Few times a month,Nestle Kitkat,4,3,4,4,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 10:46,Male,18-25,Cadbury,Few times a month,Cadbury Bournville,3,3,4,3,Yes,Yes,Cadbury,50-90,Texture,Cadbury
03-05-24 11:10,Female,18-25,Cadbury,Few times a week,Cadbury Silk,3,2,3,2,No,Yes,Cadbury,05-Oct,Mood enhancement,Cadbury
03-05-24 11:17,Female,18-25,Nestle,Few times a week,Nestle Kitkat,4,5,5,5,Yes,Yes,Cadbury,20-40,Mood enhancement,Nestle
03-05-24 11:19,Male,18-25,Cadbury,Few times a month,Nestle Kitkat,2,2,4,3,Yes,Yes,Nestle,20-40,Mood enhancement,Cadbury
03-05-24 11:20,Female,18-25,Cadbury,Few times a month,Nestle Kitkat,3,3,4,4,No,Yes,Cadbury,50-90,Mood enhancement,Nestle
03-05-24 11:24,Female,18-25,Nestle,Rarely,Nestle Kitkat,1,1,1,1,Yes,Yes,Nestle,05-Oct,Taste,Nestle
03-05-24 11:24,Male,18-25,Cadbury,Few times a week,Cadbury Dairy Milk,4,4,4,3,No,Yes,Cadbury,05-Oct,Mood enhancement,Cadbury
03-05-24 11:25,Female,18-25,Cadbury,Few times a week,Cadbury Silk,5,4,5,4,Yes,Yes,Cadbury,20-40,Mood enhancement,Cadbury
03-05-24 11:25,Female,18-25,Nestle,Few times a month,Cadbury Dairy Milk,4,4,4,5,Yes,Yes,Nestle,20-40,Taste,Nestle
03-05-24 11:27,Male,18-25,Cadbury,Few times a month,Cadbury Silk,4,4,3,3,Yes,Yes,Cadbury,05-Oct,Mood enhancement,Cadbury
03-05-24 11:29,Female,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,5,5,5,5,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 11:31,Male,18-25,Nestle,Rarely,Nestle Kitkat,4,4,4,4,No,Yes,Nestle,20-40,Taste,Nestle
03-05-24 11:32,Male,26-40,Nestle,Few times a week,Nestle Crunch,4,4,4,5,Yes,Yes,Nestle,20-40,Taste,Nestle
03-05-24 11:34,Male,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,4,3,5,5,Yes,No,Cadbury,50-90,Mood enhancement,Cadbury
03-05-24 11:35,Female,26-40,Cadbury,Daily,Cadbury Dairy Milk,5,3,4,3,Yes,No,Cadbury,50-90,Texture,Cadbury
03-05-24 11:47,Female,18-25,Cadbury,Few times a week,Cadbury Dairy Milk,5,5,3,5,Yes,Yes,Nestle,20-40,Taste,Cadbury
03-05-24 11:47,Female,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,4,3,5,4,Yes,Yes,Cadbury,05-Oct,Taste,Cadbury
03-05-24 11:48,Male,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,5,4,4,4,Yes,Yes,Cadbury,05-Oct,Taste,Cadbury
03-05-24 11:53,Female,18-25,Cadbury,Few times a week,Cadbury Bournville,1,2,3,4,Yes,Yes,Cadbury,20-40,Texture,Cadbury
03-05-24 11:56,Female,18-25,Cadbury,Few times a month,Cadbury Silk,5,3,5,3,Yes,Yes,Nestle,20-40,Taste,Cadbury
03-05-24 11:57,Female,18-25,Cadbury,Daily,Nestle Kitkat,2,1,1,3,Yes,Yes,Cadbury,05-Oct,Taste,Cadbury
03-05-24 11:59,Male,18-25,Cadbury,Rarely,Nestle Kitkat,3,4,3,4,No,Yes,Nestle,20-40,Taste,Nestle
03-05-24 12:01,Male,18-25,Cadbury,Daily,Cadbury Silk,3,4,3,4,Yes,Yes,Cadbury,100 & above,Mood enhancement,Cadbury
03-05-24 12:06,Male,18-25,Cadbury,Rarely,Cadbury Silk,4,3,5,4,Yes,Yes,Cadbury,50-90,Mood enhancement,Cadbury
03-05-24 12:10,Male,18-25,Cadbury,Rarely,5 star,4,5,4,5,Yes,Yes,Nestle,20-40,Taste,Cadbury
03-05-24 12:14,Female,18-25,Cadbury,Daily,Nestle Kitkat,1,1,2,4,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 12:34,Male,18-25,Nestle,Rarely,Nestle Kitkat,2,3,3,3,Yes,Yes,Nestle,20-40,Taste,Nestle
03-05-24 12:46,Female,18-25,Cadbury,Few times a month,Cadbury Silk,5,5,5,5,Yes,Yes,Cadbury,20-40,Taste,Cadbury
03-05-24 12:54,Female,18-25,Cadbury,Few times a week,Nestle Kitkat,4,4,3,4,No,No,Cadbury,05-Oct,Mood enhancement,Cadbury
03-05-24 12:55,Male,18-25,Cadbury,Few times a month,Cadbury Dairy Milk,4,3,3,4,Yes,No,Cadbury,20-40,Taste,Cadbury
03-05-24 12:57,Male,26-40,Cadbury,Few times a month,Cadbury Silk,4,4,4,3,Yes,Yes,Cadbury,20-40,Taste,Cadbury
